Model,Accuracy(%),Macro F1,Precision,Recall,MCC,FPR(%),Parameters,FLOPs(M),BOPs(M),IOPs(M),PackedPayload(KB),AnalyticPayload(KB),Float32Payload(KB),InfTime(ms)
BNN-MATCHED,96.72,0.5743,0.6103,0.5704,0.9641,0.1,15746,0.0054,0.0102,0.0,23.52,23.52,62.27,46.5
BNN-INT8IO,79.29,0.4755,0.546,0.487,0.7789,0.67,32514,0.0009,0.0266,0.0051,13.23,13.23,128.78,45.2
