Model,Accuracy(%),Macro F1,Precision,Recall,MCC,FPR(%),Parameters,FLOPs(M),BOPs(M),IOPs(M),PackedPayload(KB),AnalyticPayload(KB),Float32Payload(KB),InfTime(ms)
BNN-MATCHED,89.47,0.526,0.5687,0.5285,0.8863,0.34,15746,0.0054,0.0102,0.0,23.52,23.52,62.27,47.7
MLP,73.18,0.4353,0.5256,0.4663,0.7147,0.86,15938,0.0161,0.0,0.0,63.77,63.77,63.77,48.0
LSTM,79.95,0.5116,0.6231,0.5192,0.7848,0.65,53634,1.5983,0.0,0.0,209.51,209.51,209.51,49.3
CNN,83.6,0.538,0.672,0.5391,0.8223,0.52,84962,0.4497,0.0,0.0,333.4,333.4,333.4,50.1
BNN-INT8IO,79.6,0.4596,0.5193,0.4709,0.7817,0.66,32514,0.0009,0.0266,0.0051,13.23,13.23,128.78,50.6
MLP-INT8,80.11,0.4873,0.5283,0.5002,0.7858,0.64,15938,0.0008,0.0,0.0153,18.98,18.98,63.77,57.0
