Model,Accuracy(%),Macro F1,Precision,Recall,MCC,FPR(%),Parameters,FLOPs(M),BOPs(M),IOPs(M),PackedPayload(KB),AnalyticPayload(KB),Float32Payload(KB),InfTime(ms)
BNN-MATCHED,97.05,0.6,0.6492,0.5929,0.9678,0.09,15746,0.0054,0.0102,0.0,23.52,23.52,62.27,54.4
BNN-INT8IO,85.94,0.5299,0.582,0.5255,0.8476,0.45,32514,0.0009,0.0266,0.0051,13.23,13.23,128.78,49.7
