Model,Accuracy(%),Macro F1,Precision,Recall,MCC,FPR(%),Parameters,FLOPs(M),BOPs(M),IOPs(M),PackedPayload(KB),AnalyticPayload(KB),Float32Payload(KB),InfTime(ms)
BNN-MATCHED,68.2,0.2717,0.3314,0.3325,0.6639,1.02,15746,0.0054,0.0102,0.0,23.52,23.52,62.27,53.2
MLP,71.07,0.3442,0.3937,0.3803,0.6945,0.93,15938,0.0161,0.0,0.0,63.77,63.77,63.77,50.4
LSTM,72.0,0.3912,0.4263,0.4427,0.6996,0.89,53634,1.5983,0.0,0.0,209.51,209.51,209.51,47.2
CNN,69.85,0.3556,0.5099,0.4153,0.6804,0.97,84962,0.4497,0.0,0.0,333.4,333.4,333.4,56.7
BNN-INT8IO,69.16,0.2642,0.2795,0.3057,0.6728,0.98,32514,0.0009,0.0266,0.0051,13.23,13.23,128.78,58.0
MLP-INT8,70.8,0.3527,0.3871,0.4019,0.6914,0.93,15938,0.0008,0.0,0.0153,18.98,18.98,63.77,55.5
