Model,Accuracy(%),Macro F1,Precision,Recall,MCC,FPR(%),Parameters,FLOPs(M),BOPs(M),IOPs(M),PackedPayload(KB),AnalyticPayload(KB),Float32Payload(KB),InfTime(ms)
BNN-MATCHED,91.54,0.6141,0.6936,0.5984,0.8936,1.05,14954,0.0047,0.0102,0.0,20.43,20.43,59.18,41.4
MLP,92.84,0.8081,0.9223,0.7558,0.91,0.88,15146,0.0153,0.0,0.0,60.68,60.68,60.68,37.6
LSTM,86.63,0.5496,0.5869,0.5334,0.8329,1.68,52842,1.5975,0.0,0.0,206.41,206.41,206.41,40.6
CNN,92.84,0.8218,0.9027,0.7822,0.9099,0.88,83402,0.4482,0.0,0.0,327.3,327.3,327.3,41.7
MLP-INT8,92.76,0.799,0.8925,0.7581,0.9089,0.88,15146,0.0008,0.0,0.0145,18.13,18.13,60.68,46.9
BNN-INT8IO,90.17,0.5869,0.5997,0.5799,0.8762,1.2,31722,0.0009,0.0266,0.0043,12.38,12.38,125.69,60.4
