Model,Accuracy(%),Macro F1,Precision,Recall,MCC,FPR(%),Parameters,FLOPs(M),BOPs(M),IOPs(M),PackedPayload(KB),AnalyticPayload(KB),Float32Payload(KB),InfTime(ms)
BNN-MATCHED,91.69,0.6235,0.7109,0.6094,0.8953,1.01,14954,0.0047,0.0102,0.0,20.43,20.43,59.18,42.9
MLP,92.81,0.794,0.8617,0.7682,0.9095,0.88,15146,0.0153,0.0,0.0,60.68,60.68,60.68,40.3
LSTM,88.87,0.5583,0.5832,0.5522,0.8602,1.38,52842,1.5975,0.0,0.0,206.41,206.41,206.41,43.2
CNN,93.01,0.8259,0.9144,0.7838,0.912,0.86,83402,0.4482,0.0,0.0,327.3,327.3,327.3,41.4
MLP-INT8,92.73,0.8015,0.9189,0.7499,0.9085,0.89,15146,0.0008,0.0,0.0145,18.13,18.13,60.68,45.1
BNN-INT8IO,89.85,0.5844,0.605,0.5738,0.8722,1.25,31722,0.0009,0.0266,0.0043,12.38,12.38,125.69,53.3
