Model,Accuracy(%),Macro F1,Precision,Recall,MCC,FPR(%),Parameters,FLOPs(M),BOPs(M),IOPs(M),PackedPayload(KB),AnalyticPayload(KB),Float32Payload(KB),InfTime(ms)
BNN-MATCHED,91.59,0.6335,0.7906,0.6115,0.8941,1.03,14954,0.0047,0.0102,0.0,20.43,20.43,59.18,41.3
MLP,92.83,0.7971,0.8829,0.7585,0.9098,0.88,15146,0.0153,0.0,0.0,60.68,60.68,60.68,36.8
LSTM,88.96,0.6345,0.7488,0.6065,0.8615,1.37,52842,1.5975,0.0,0.0,206.41,206.41,206.41,37.9
CNN,92.91,0.8208,0.9098,0.778,0.9108,0.87,83402,0.4482,0.0,0.0,327.3,327.3,327.3,39.9
MLP-INT8,92.71,0.8155,0.9104,0.7684,0.9082,0.89,15146,0.0008,0.0,0.0145,18.13,18.13,60.68,42.7
BNN-INT8IO,89.86,0.5897,0.7025,0.5773,0.8723,1.25,31722,0.0009,0.0266,0.0043,12.38,12.38,125.69,53.5
