Model,Accuracy(%),Macro F1,Precision,Recall,MCC,FPR(%),Parameters,FLOPs(M),BOPs(M),IOPs(M),PackedPayload(KB),AnalyticPayload(KB),Float32Payload(KB),InfTime(ms)
BNN-MATCHED,79.46,0.3722,0.3923,0.361,0.637,3.53,14826,0.0045,0.0102,0.0,19.93,19.93,58.68,40.2
MLP,81.91,0.4521,0.488,0.4373,0.6813,3.17,15018,0.0152,0.0,0.0,60.18,60.18,60.18,88.5
LSTM,75.56,0.2431,0.2918,0.2534,0.5451,5.43,52842,1.546,0.0,0.0,206.41,206.41,206.41,39.0
CNN,81.9,0.4482,0.474,0.4316,0.6833,3.04,83402,0.4477,0.0,0.0,327.3,327.3,327.3,42.5
MLP-INT8,81.94,0.4618,0.4913,0.4501,0.6824,3.13,15018,0.0008,0.0,0.0144,18.01,18.01,60.18,41.3
BNN-INT8IO,78.31,0.3395,0.3852,0.3262,0.6095,4.0,31594,0.0009,0.0266,0.0042,12.26,12.26,125.19,43.9
