Model,Accuracy(%),Macro F1,Precision,Recall,MCC,FPR(%),Parameters,FLOPs(M),BOPs(M),IOPs(M),PackedPayload(KB),AnalyticPayload(KB),Float32Payload(KB),InfTime(ms)
BNN-MATCHED,79.12,0.3593,0.4256,0.344,0.6275,3.74,14826,0.0045,0.0102,0.0,19.93,19.93,58.68,40.8
MLP,81.77,0.4253,0.4835,0.4028,0.6776,3.21,15018,0.0152,0.0,0.0,60.18,60.18,60.18,92.9
LSTM,75.91,0.2509,0.3117,0.256,0.5525,5.38,52842,1.546,0.0,0.0,206.41,206.41,206.41,39.6
CNN,82.01,0.4717,0.5223,0.4502,0.6843,3.06,83402,0.4477,0.0,0.0,327.3,327.3,327.3,40.7
MLP-INT8,81.51,0.4155,0.4855,0.3929,0.6718,3.33,15018,0.0008,0.0,0.0144,18.01,18.01,60.18,42.7
BNN-INT8IO,78.23,0.3353,0.3868,0.3235,0.608,4.03,31594,0.0009,0.0266,0.0042,12.26,12.26,125.19,45.5
