Model,Accuracy(%),Macro F1,Precision,Recall,MCC,FPR(%),Parameters,FLOPs(M),BOPs(M),IOPs(M),PackedPayload(KB),AnalyticPayload(KB),Float32Payload(KB),InfTime(ms)
BNN-MATCHED,79.19,0.3471,0.371,0.3419,0.6303,3.64,14826,0.0045,0.0102,0.0,19.93,19.93,58.68,46.9
MLP,81.71,0.4363,0.4872,0.4141,0.6765,3.24,15018,0.0152,0.0,0.0,60.18,60.18,60.18,112.3
LSTM,75.61,0.2423,0.2627,0.2525,0.5462,5.42,52842,1.546,0.0,0.0,206.41,206.41,206.41,38.5
CNN,81.89,0.4387,0.4702,0.4212,0.6815,3.09,83402,0.4477,0.0,0.0,327.3,327.3,327.3,41.9
MLP-INT8,81.61,0.4165,0.486,0.3962,0.6745,3.27,15018,0.0008,0.0,0.0144,18.01,18.01,60.18,43.6
BNN-INT8IO,78.68,0.3461,0.4011,0.3314,0.6168,3.93,31594,0.0009,0.0266,0.0042,12.26,12.26,125.19,45.4
